Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:04.703 AM 2026-08-02 	 1.973153 	 0.260223 	 295.835996 	 295.573890 	 -66358.675837 	 -66358.675837 	 295.574411 	 295.415256
12:00:09.835 AM 2026-08-02 	 2.333198 	 0.495234 	 295.836149 	 295.575883 	 -66358.797524 	 -66358.797524 	 295.559373 	 295.405393
12:00:14.986 AM 2026-08-02 	 1.592729 	 0.809590 	 295.835996 	 295.578182 	 -66358.961803 	 -66358.961803 	 295.557691 	 295.424903
12:00:20.128 AM 2026-08-02 	 2.356346 	 1.359460 	 295.835996 	 295.582014 	 -66359.180847 	 -66359.180847 	 295.558116 	 295.430038
12:00:25.303 AM 2026-08-02 	 2.450697 	 0.249392 	 295.836762 	 295.585386 	 -66359.387726 	 -66359.387726 	 295.558962 	 295.418169
12:00:30.440 AM 2026-08-02 	 2.456987 	 0.704805 	 295.836302 	 295.587072 	 -66359.618949 	 -66359.618949 	 295.535426 	 295.436069
12:00:35.569 AM 2026-08-02 	 1.486301 	 1.174575 	 295.837375 	 295.589831 	 -66359.777157 	 -66359.777157 	 295.557260 	 295.406576
12:00:40.728 AM 2026-08-02 	 0.987874 	 -0.278816 	 295.836915 	 295.591977 	 -66360.002305 	 -66360.002305 	 295.565714 	 295.411736
12:00:45.844 AM 2026-08-02 	 2.832128 	 0.367779 	 295.837528 	 295.594583 	 -66360.166605 	 -66360.166605 	 295.554616 	 295.412408
12:00:50.997 AM 2026-08-02 	 1.757781 	 0.669037 	 295.837375 	 295.596729 	 -66360.276140 	 -66360.276140 	 295.550826 	 295.427456
12:00:56.127 AM 2026-08-02 	 1.850371 	 0.484655 	 295.838448 	 295.599334 	 -66360.489129 	 -66360.489129 	 295.547460 	 295.440101
12:01:01.225 AM 2026-08-02 	 2.268033 	 1.066011 	 295.837835 	 295.601940 	 -66360.762978 	 -66360.762978 	 295.563176 	 295.432274
12:01:06.363 AM 2026-08-02 	 1.212053 	 -0.096701 	 295.838907 	 295.601174 	 -66360.866435 	 -66360.866435 	 295.576311 	 295.437406
12:01:11.505 AM 2026-08-02 	 1.026118 	 0.439567 	 295.838448 	 295.603320 	 -66361.024664 	 -66361.024664 	 295.572250 	 295.413565
12:01:16.624 AM 2026-08-02 	 1.562285 	 1.057699 	 295.839520 	 295.604852 	 -66361.140295 	 -66361.140295 	 295.572723 	 295.421573
12:01:21.754 AM 2026-08-02 	 2.059705 	 0.505058 	 295.838754 	 295.607765 	 -66361.268099 	 -66361.268099 	 295.569479 	 295.427277
12:01:26.893 AM 2026-08-02 	 2.164121 	 0.910345 	 295.838601 	 295.609451 	 -66361.432422 	 -66361.432422 	 295.552732 	 295.422769
12:01:32.013 AM 2026-08-02 	 1.426671 	 0.777348 	 295.839367 	 295.612057 	 -66361.590661 	 -66361.590661 	 295.545375 	 295.436131
12:01:37.157 AM 2026-08-02 	 1.405536 	 1.014122 	 295.839520 	 295.613589 	 -66361.797593 	 -66361.797593 	 295.546222 	 295.430856
12:01:42.312 AM 2026-08-02 	 1.563795 	 0.618155 	 295.839367 	 295.615122 	 -66361.864542 	 -66361.864542 	 295.557795 	 295.438194
12:01:47.441 AM 2026-08-02 	 2.392073 	 0.535032 	 295.839520 	 295.615429 	 -66362.071480 	 -66362.071480 	 295.533688 	 295.451285
12:01:52.572 AM 2026-08-02 	 2.963213 	 0.793721 	 295.839674 	 295.614049 	 -66362.266250 	 -66362.266250 	 295.564147 	 295.425710
12:01:57.721 AM 2026-08-02 	 2.197584 	 0.503546 	 295.840593 	 295.614969 	 -66362.394069 	 -66362.394069 	 295.552428 	 295.430000
12:02:02.847 AM 2026-08-02 	 1.737904 	 0.550649 	 295.840287 	 295.616042 	 -66362.503630 	 -66362.503630 	 295.565118 	 295.439396
12:02:07.986 AM 2026-08-02 	 2.558383 	 0.902536 	 295.839520 	 295.615889 	 -66362.661887 	 -66362.661887 	 295.551170 	 295.426387
12:02:13.134 AM 2026-08-02 	 2.198339 	 1.166514 	 295.839827 	 295.617728 	 -66362.753190 	 -66362.753190 	 295.581204 	 295.431941
12:02:18.258 AM 2026-08-02 	 2.309547 	 0.819413 	 295.840440 	 295.617421 	 -66362.868843 	 -66362.868843 	 295.567553 	 295.426763
12:02:23.373 AM 2026-08-02 	 2.712616 	 0.987422 	 295.839674 	 295.620334 	 -66362.960148 	 -66362.960148 	 295.564160 	 295.424310
12:02:28.499 AM 2026-08-02 	 3.180096 	 1.355934 	 295.839827 	 295.619721 	 -66363.057541 	 -66363.057541 	 295.558909 	 295.428477
12:02:33.609 AM 2026-08-02 	 1.270425 	 -0.116097 	 295.841666 	 295.622020 	 -66363.276680 	 -66363.276680 	 295.576283 	 295.421838
12:02:38.713 AM 2026-08-02 	 1.966863 	 0.898002 	 295.840746 	 295.623399 	 -66363.477561 	 -66363.477561 	 295.563923 	 295.423131
12:02:43.861 AM 2026-08-02 	 1.283257 	 0.345865 	 295.841513 	 295.625698 	 -66363.477561 	 -66363.477561 	 295.528611 	 295.434905
12:02:49.014 AM 2026-08-02 	 1.905975 	 0.843343 	 295.840746 	 295.628764 	 -66363.538435 	 -66363.538435 	 295.550047 	 295.449281
12:02:54.172 AM 2026-08-02 	 1.889873 	 0.203045 	 295.841053 	 295.629071 	 -66363.611485 	 -66363.611485 	 295.553171 	 295.444400
12:02:59.278 AM 2026-08-02 	 2.048886 	 0.411104 	 295.840593 	 295.630450 	 -66363.739323 	 -66363.739323 	 295.563581 	 295.413370
12:03:04.399 AM 2026-08-02 	 1.918052 	 0.226722 	 295.841053 	 295.630603 	 -66363.794111 	 -66363.794111 	 295.546385 	 295.429607
12:03:09.573 AM 2026-08-02 	 1.317475 	 1.356690 	 295.841206 	 295.629684 	 -66363.867162 	 -66363.867162 	 295.540092 	 295.431789
12:03:14.734 AM 2026-08-02 	 1.911007 	 0.595234 	 295.841666 	 295.629684 	 -66363.988916 	 -66363.988916 	 295.564602 	 295.428991
12:03:19.872 AM 2026-08-02 	 1.943213 	 1.009337 	 295.841513 	 295.629684 	 -66364.135022 	 -66364.135022 	 295.563317 	 295.428647
12:03:25.009 AM 2026-08-02 	 1.462398 	 1.672556 	 295.841666 	 295.630450 	 -66364.159373 	 -66364.159373 	 295.546467 	 295.421211
