Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:00:04.190 AM 2026-08-04 	 4.029254 	 297.647000 	 44.546000 	 -100.882734 	 4.015057 	 297.647000 	 44.546000 	 -100.882734 	 108.834333 	 108.689525 	 298.604651
12:00:09.348 AM 2026-08-04 	 4.026157 	 297.647000 	 44.546000 	 -101.134356 	 4.013735 	 297.647000 	 44.546000 	 -101.134356 	 108.834035 	 108.689525 	 298.605591
12:00:14.514 AM 2026-08-04 	 4.030637 	 297.647000 	 44.546000 	 -101.964740 	 4.008047 	 297.647000 	 44.546000 	 -101.964740 	 108.834035 	 108.688870 	 298.605789
12:00:19.682 AM 2026-08-04 	 4.021137 	 297.647000 	 44.546000 	 -100.481598 	 4.016780 	 297.647000 	 44.546000 	 -100.481598 	 108.833738 	 108.688155 	 298.606580
12:00:24.814 AM 2026-08-04 	 4.027908 	 297.647000 	 44.546000 	 -101.674103 	 4.004718 	 297.647000 	 44.546000 	 -101.674103 	 108.833678 	 108.687619 	 298.607125
12:00:29.942 AM 2026-08-04 	 4.021473 	 297.647000 	 44.546000 	 -101.094242 	 4.023866 	 297.647000 	 44.546000 	 -101.094242 	 108.834035 	 108.687560 	 298.607892
12:00:35.110 AM 2026-08-04 	 4.027780 	 297.647000 	 44.546000 	 -101.786544 	 4.011016 	 297.647000 	 44.546000 	 -101.786544 	 108.833380 	 108.686607 	 298.608362
12:00:40.253 AM 2026-08-04 	 4.026937 	 297.647000 	 44.546000 	 -100.979215 	 4.010368 	 297.647000 	 44.546000 	 -100.979215 	 108.833678 	 108.686905 	 298.609054
12:00:45.418 AM 2026-08-04 	 4.018700 	 297.647000 	 44.546000 	 -100.463496 	 4.011629 	 297.647000 	 44.546000 	 -100.463496 	 108.833202 	 108.686369 	 298.609326
12:00:50.571 AM 2026-08-04 	 4.032791 	 297.647000 	 44.546000 	 -100.266843 	 4.019294 	 297.647000 	 44.546000 	 -100.266843 	 108.833857 	 108.685832 	 298.609970
12:00:55.698 AM 2026-08-04 	 4.030853 	 297.647000 	 44.546000 	 -100.659925 	 4.015387 	 297.647000 	 44.546000 	 -100.659925 	 108.833678 	 108.685713 	 298.610093
12:01:00.834 AM 2026-08-04 	 4.016324 	 297.647000 	 44.546000 	 -100.843207 	 4.006891 	 297.647000 	 44.546000 	 -100.843207 	 108.833380 	 108.685177 	 298.610217
12:01:05.965 AM 2026-08-04 	 4.026443 	 297.647000 	 44.546000 	 -101.006619 	 4.013084 	 297.647000 	 44.546000 	 -101.006619 	 108.832963 	 108.684582 	 298.610316
12:01:11.146 AM 2026-08-04 	 4.033585 	 297.647000 	 44.546000 	 -100.863080 	 4.011326 	 297.647000 	 44.546000 	 -100.863080 	 108.833202 	 108.684701 	 298.610242
12:01:16.288 AM 2026-08-04 	 4.018399 	 297.647000 	 44.546000 	 -100.722866 	 4.021472 	 297.647000 	 44.546000 	 -100.722866 	 108.833202 	 108.683986 	 298.610093
12:01:21.466 AM 2026-08-04 	 4.021540 	 297.647000 	 44.546000 	 -100.315376 	 4.021487 	 297.647000 	 44.546000 	 -100.315376 	 108.833440 	 108.683867 	 298.610291
12:01:26.613 AM 2026-08-04 	 4.025600 	 297.647000 	 44.546000 	 -101.514519 	 4.017139 	 297.647000 	 44.546000 	 -101.514519 	 108.832844 	 108.683748 	 298.610687
12:01:31.755 AM 2026-08-04 	 4.021595 	 297.647000 	 44.546000 	 -100.178415 	 4.012286 	 297.647000 	 44.546000 	 -100.178415 	 108.832963 	 108.683628 	 298.610539
12:01:36.885 AM 2026-08-04 	 4.030550 	 297.647000 	 44.546000 	 -101.596228 	 4.018506 	 297.647000 	 44.546000 	 -101.596228 	 108.833321 	 108.683450 	 298.610737
12:01:42.004 AM 2026-08-04 	 4.023924 	 297.647000 	 44.546000 	 -100.402545 	 4.007562 	 297.647000 	 44.546000 	 -100.402545 	 108.832963 	 108.682973 	 298.610687
12:01:47.195 AM 2026-08-04 	 4.037234 	 297.647000 	 44.546000 	 -100.448863 	 4.004079 	 297.647000 	 44.546000 	 -100.448863 	 108.832725 	 108.683092 	 298.611058
12:01:52.351 AM 2026-08-04 	 4.022147 	 297.647000 	 44.546000 	 -100.318549 	 4.014441 	 297.647000 	 44.546000 	 -100.318549 	 108.832427 	 108.682437 	 298.611157
12:01:57.498 AM 2026-08-04 	 4.029213 	 297.647000 	 44.546000 	 -100.810993 	 4.006797 	 297.647000 	 44.546000 	 -100.810993 	 108.833261 	 108.682020 	 298.611405
12:02:02.660 AM 2026-08-04 	 4.021397 	 297.647000 	 44.546000 	 -99.996094 	 4.013434 	 297.647000 	 44.546000 	 -99.996094 	 108.832785 	 108.681901 	 298.611331
12:02:07.779 AM 2026-08-04 	 4.020676 	 297.647000 	 44.546000 	 -101.736372 	 4.014976 	 297.647000 	 44.546000 	 -101.736372 	 108.832546 	 108.681305 	 298.611355
12:02:12.933 AM 2026-08-04 	 4.024505 	 297.647000 	 44.546000 	 -100.904813 	 4.009942 	 297.647000 	 44.546000 	 -100.904813 	 108.832249 	 108.680591 	 298.611652
12:02:18.058 AM 2026-08-04 	 4.021190 	 297.647000 	 44.546000 	 -100.464226 	 4.003270 	 297.647000 	 44.546000 	 -100.464226 	 108.832308 	 108.680412 	 298.611652
12:02:23.212 AM 2026-08-04 	 4.018898 	 297.647000 	 44.546000 	 -100.986443 	 4.024514 	 297.647000 	 44.546000 	 -100.986443 	 108.832189 	 108.680114 	 298.612172
12:02:28.301 AM 2026-08-04 	 4.027996 	 297.647000 	 44.546000 	 -100.971004 	 4.013916 	 297.647000 	 44.546000 	 -100.971004 	 108.832249 	 108.680114 	 298.612048
12:02:33.430 AM 2026-08-04 	 4.024143 	 297.647000 	 44.546000 	 -101.470189 	 4.011886 	 297.647000 	 44.546000 	 -101.470189 	 108.832308 	 108.679459 	 298.611677
12:02:38.575 AM 2026-08-04 	 4.030416 	 297.647000 	 44.546000 	 -101.191894 	 4.008973 	 297.647000 	 44.546000 	 -101.191894 	 108.832368 	 108.678446 	 298.611801
12:02:43.737 AM 2026-08-04 	 4.023236 	 297.647000 	 44.546000 	 -101.023016 	 4.001924 	 297.647000 	 44.546000 	 -101.023016 	 108.832487 	 108.676957 	 298.611355
12:02:48.876 AM 2026-08-04 	 4.028489 	 297.647000 	 44.546000 	 -100.495256 	 4.010065 	 297.647000 	 44.546000 	 -100.495256 	 108.832130 	 108.676362 	 298.610959
12:02:53.996 AM 2026-08-04 	 4.027018 	 297.647000 	 44.546000 	 -101.246123 	 4.009767 	 297.647000 	 44.546000 	 -101.246123 	 108.831951 	 108.676421 	 298.611058
12:02:59.168 AM 2026-08-04 	 4.015516 	 297.647000 	 44.546000 	 -100.889450 	 4.004172 	 297.647000 	 44.546000 	 -100.889450 	 108.832130 	 108.676362 	 298.611058
12:03:04.303 AM 2026-08-04 	 4.018067 	 297.647000 	 44.546000 	 -102.163838 	 4.013098 	 297.647000 	 44.546000 	 -102.163838 	 108.832010 	 108.675528 	 298.610712
12:03:09.454 AM 2026-08-04 	 4.031034 	 297.647000 	 44.546000 	 -101.374301 	 4.010047 	 297.647000 	 44.546000 	 -101.374301 	 108.831832 	 108.674575 	 298.610539
12:03:14.558 AM 2026-08-04 	 4.021146 	 297.647000 	 44.546000 	 -101.221893 	 4.011031 	 297.647000 	 44.546000 	 -101.221893 	 108.831832 	 108.673860 	 298.610662
12:03:19.703 AM 2026-08-04 	 4.030757 	 297.647000 	 44.546000 	 -101.693452 	 4.017454 	 297.647000 	 44.546000 	 -101.693452 	 108.831891 	 108.673085 	 298.610440
12:03:24.841 AM 2026-08-04 	 4.035302 	 297.647000 	 44.546000 	 -100.617964 	 4.006707 	 297.647000 	 44.546000 	 -100.617964 	 108.831891 	 108.672847 	 298.610093
12:03:29.976 AM 2026-08-04 	 4.022696 	 297.647000 	 44.546000 	 -101.520136 	 4.017489 	 297.647000 	 44.546000 	 -101.520136 	 108.831772 	 108.672132 	 298.610093
12:03:35.112 AM 2026-08-04 	 4.018250 	 297.647000 	 44.546000 	 -101.202171 	 4.014114 	 297.647000 	 44.546000 	 -101.202171 	 108.831177 	 108.672132 	 298.609698
12:03:40.290 AM 2026-08-04 	 4.012282 	 297.647000 	 44.546000 	 -100.266918 	 4.020301 	 297.647000 	 44.546000 	 -100.266918 	 108.831593 	 108.671954 	 298.609500
12:03:45.435 AM 2026-08-04 	 4.025772 	 297.647000 	 44.546000 	 -100.730698 	 4.009778 	 297.647000 	 44.546000 	 -100.730698 	 108.831832 	 108.671120 	 298.609450
12:03:50.565 AM 2026-08-04 	 4.030859 	 297.647000 	 44.546000 	 -100.985864 	 4.014952 	 297.647000 	 44.546000 	 -100.985864 	 108.831474 	 108.671001 	 298.608906
12:03:55.696 AM 2026-08-04 	 4.030284 	 297.647000 	 44.546000 	 -101.557966 	 4.006739 	 297.647000 	 44.546000 	 -101.557966 	 108.831177 	 108.671060 	 298.608312
12:04:00.814 AM 2026-08-04 	 4.030903 	 297.647000 	 44.546000 	 -101.422180 	 4.009373 	 297.647000 	 44.546000 	 -101.422180 	 108.831415 	 108.671120 	 298.608065
12:04:05.950 AM 2026-08-04 	 4.015924 	 297.647000 	 44.546000 	 -101.948930 	 4.011037 	 297.647000 	 44.546000 	 -101.948930 	 108.831772 	 108.671179 	 298.608015
12:04:11.042 AM 2026-08-04 	 4.025069 	 297.647000 	 44.546000 	 -101.230100 	 4.010613 	 297.647000 	 44.546000 	 -101.230100 	 108.831296 	 108.671596 	 298.607669
