# Cortes et al. (2026) - Benchtop Conductivity Measurements,,,,,,,,,,
#,,,,,,,,,,
# Instrument: TBD (add details),,,,,,,,,,
# Reference: See Cortes et al. (2026) manuscript for full methodology,,,,,,,,,,
#,,,,,,,,,,
# Data description:,,,,,,,,,,
# - All measurements from benchtop conductivity probe,,,,,,,,,,
# - Gamry impedance data analyzed separately from raw Gamry files,,,,,,,,,,
# - Temperatures: 5°C, 10°C, 20°C,,,,,,,,
# - Compounds: KCl, NaCl, Na2SO4, NaCl:MgSO4 mixtures, Na2SO4:KCl mixtures,,,,,,
#              NaCl+Glycine, pure amino acids (Alanine, Aspartic Acid, Glutamic Acid, Glycine),,,,,,
# - Multiple replicates per condition for NaCl and organic compounds,,,,,,,,,,
#,,,,,,,,,,
# Columns:,,,,,,,,,,
#   compound: Chemical formula or mixture notation,,,,,,,,,,
#   concentration_molal: Molality (mol/kg_H2O),,,,,,,,,,
#     NOTE: Original data in M/L, assuming molal ≈ molar for dilute solutions,,,,,,,,,
#   temperature_C: Temperature (Celsius),,,,,,,,,,
#   temperature_K: Temperature (Kelvin),,,,,,,,,,
#   conductivity_Sm: Conductivity (S/m),,,,,,,,,,
#     NOTE: Converted from mS/cm by dividing by 10,,,,,,,,,,
#   replicate: Replicate number,,,,,,,,,,
#   source: Data source ('benchtop'),,,,,,,,,,
#   notes: Additional notes,,,,,,,,,,
#,,,,,,,,,,
compound,concentration_molal,temperature_C,temperature_K,conductivity_Sm,replicate,source,notes,,,
Alanine,0.1,20,293.15,0.702,1,benchtop,"100 mM/L Alanine, replicate 1",,,correct
Alanine,0.1,20,293.15,0.717,2,benchtop,"100 mM/L Alanine, replicate 2",,,correct
Alanine,0.1,20,293.15,0.731,3,benchtop,"100 mM/L Alanine, replicate 3",,,correct
Alanine,0.1,20,293.15,1.371,4,benchtop,"100 mM/L Alanine, replicate 4",,,correct
Alanine,0.1,20,293.15,1.376,5,benchtop,"100 mM/L Alanine, replicate 5",,,correct
Alanine,0.1,20,293.15,1.377,6,benchtop,"100 mM/L Alanine, replicate 6",,,correct
Alanine,0.1,20,293.15,0.968,7,benchtop,"100 mM/L Alanine, replicate 7",,,correct
Alanine,0.1,20,293.15,0.97,8,benchtop,"100 mM/L Alanine, replicate 8",,,correct
Alanine,0.1,20,293.15,0.98,9,benchtop,"100 mM/L Alanine, replicate 9",,,correct
Aspartic Acid,0.1,20,293.15,85.3,1,benchtop,"100 mM/L Aspartic Acid, replicate 1",,,correct
Aspartic Acid,0.1,20,293.15,85.24,2,benchtop,"100 mM/L Aspartic Acid, replicate 2",,,correct
Aspartic Acid,0.1,20,293.15,85.2,3,benchtop,"100 mM/L Aspartic Acid, replicate 3",,,correct
Aspartic Acid,0.1,20,293.15,82.72,4,benchtop,"100 mM/L Aspartic Acid, replicate 4",,,correct
Aspartic Acid,0.1,20,293.15,82.72,5,benchtop,"100 mM/L Aspartic Acid, replicate 5",,,correct
Aspartic Acid,0.1,20,293.15,82.83,6,benchtop,"100 mM/L Aspartic Acid, replicate 6",,,correct
Aspartic Acid,0.1,20,293.15,84.75,7,benchtop,"100 mM/L Aspartic Acid, replicate 7",,,correct
Aspartic Acid,0.1,20,293.15,84.74,8,benchtop,"100 mM/L Aspartic Acid, replicate 8",,,correct
Aspartic Acid,0.1,20,293.15,84.76,9,benchtop,"100 mM/L Aspartic Acid, replicate 9",,,correct
Glutamic Acid,0.1,20,293.15,53.5,1,benchtop,"100 mM/L Glutamic Acid, replicate 1",,,correct
Glutamic Acid,0.1,20,293.15,53.76,2,benchtop,"100 mM/L Glutamic Acid, replicate 2",,,correct
Glutamic Acid,0.1,20,293.15,53.84,3,benchtop,"100 mM/L Glutamic Acid, replicate 3",,,correct
Glutamic Acid,0.1,20,293.15,55.08,4,benchtop,"100 mM/L Glutamic Acid, replicate 4",,,correct
Glutamic Acid,0.1,20,293.15,55.11,5,benchtop,"100 mM/L Glutamic Acid, replicate 5",,,correct
Glutamic Acid,0.1,20,293.15,55.13,6,benchtop,"100 mM/L Glutamic Acid, replicate 6",,,correct
Glutamic Acid,0.1,20,293.15,56.81,7,benchtop,"100 mM/L Glutamic Acid, replicate 7",,,correct
Glutamic Acid,0.1,20,293.15,56.78,8,benchtop,"100 mM/L Glutamic Acid, replicate 8",,,correct
Glutamic Acid,0.1,20,293.15,56.96,9,benchtop,"100 mM/L Glutamic Acid, replicate 9",,,correct
Glycine,0.1,20,293.15,0.912,1,benchtop,"100 mM/L Glycine, replicate 1",,,correct
Glycine,0.1,20,293.15,0.94,2,benchtop,"100 mM/L Glycine, replicate 2",,,correct
Glycine,0.1,20,293.15,0.941,3,benchtop,"100 mM/L Glycine, replicate 3",,,correct
Glycine,0.1,20,293.15,0.864,4,benchtop,"100 mM/L Glycine, replicate 4",,,correct
Glycine,0.1,20,293.15,1.002,5,benchtop,"100 mM/L Glycine, replicate 5",,,correct
Glycine,0.1,20,293.15,1.009,6,benchtop,"100 mM/L Glycine, replicate 6",,,correct
