group_name,filename,P_MPa,T_K,type,comp,w_ppt,w_molal,R_ohm,R_ohm_unc,K_cell,K_cell_unc,conductivity_Sm,conductivity_Sm_unc,exclude,notes
Group 1,Default_20250815_145921_P_597_T_292.txt,597.08,292.35,measurement,MgSO4,,0.5,24.64356590401565,0.00973410121571733,81.97553741784414,0.053679814245886706,3.3264478743511017,0.0025438525138853805,,
Group 1,Default_20250815_150015_P_597_T_292.txt,596.55,292.37,measurement,MgSO4,,0.5,24.619439146871287,0.007697066243443042,81.97553741784414,0.053679814245886706,3.329707753649694,0.002416146652379704,,
Group 1,Default_20250815_150109_P_597_T_292.txt,597.06,292.34,measurement,MgSO4,,0.5,24.637015465537225,0.008971581567144742,81.97553741784414,0.053679814245886706,3.3273323033998676,0.0024930675201056914,,
Group 1,Default_20250815_160519_P_597_T_292.txt,596.95,291.92,measurement,MgSO4,,0.75,19.664215460419225,0.01511213126198816,81.97553741784414,0.053679814245886706,4.168767250483355,0.004209020693398956,,
Group 1,Default_20250815_160613_P_597_T_292.txt,597.16,291.92,measurement,MgSO4,,0.75,19.6681441194422,0.011242431723203397,81.97553741784414,0.053679814245886706,4.167934550408868,0.003622825365768487,,
Group 1,Default_20250815_160705_P_596_T_292.txt,596.24,291.92,measurement,MgSO4,,0.75,19.65636884645422,0.008205511994497589,81.97553741784414,0.053679814245886706,4.170431378155155,0.003238633444621466,,
Group 1,Default_20250815_161947_P_596_T_292.txt,595.58,291.86,measurement,MgSO4,,1.0,16.797138607396743,0.00939780661819357,81.97553741784414,0.053679814245886706,4.880327497074151,0.004203393333935097,,
Group 1,Default_20250815_162040_P_597_T_292.txt,596.93,291.85,measurement,MgSO4,,1.0,16.800305127228338,0.008056830089597466,81.97553741784414,0.053679814245886706,4.879407653435173,0.003960386551552778,,
Group 1,Default_20250815_162133_P_596_T_292.txt,596.5,291.86,measurement,MgSO4,,1.0,16.822013077277777,0.006750930000782082,81.97553741784414,0.053679814245886706,4.8731110266803945,0.0037426400518465624,,
Group 1,Default_20250815_162742_P_597_T_292.txt,597.07,291.85,measurement,MgSO4,,1.5,14.654837998272123,0.0067932738686657815,81.97553741784414,0.053679814245886706,5.59375254967059,0.004487845067897632,,
Group 1,Default_20250815_162835_P_596_T_292.txt,596.23,291.86,measurement,MgSO4,,1.5,14.648640043311197,0.006827514162564142,81.97553741784414,0.053679814245886706,5.5961193104253715,0.004497950674990323,,
Group 1,Default_20250815_162928_P_596_T_292.txt,595.54,291.86,measurement,MgSO4,,1.5,14.661403625631033,0.00627316485366148,81.97553741784414,0.053679814245886706,5.591247571585485,0.004373595444194375,,
Group 1,Default_20250815_133521_P_596_T_292.txt,596.29,291.62,standard,,,,10.246942177230517,0.006709976780735838,81.97553741784414,0.053679814245886706,8.0,,,
