IMPEDANCE MEASUREMENT 
1:14:02.709 PM 6/22/2026
Chamber temperature (K): 293.84
Chamber pressure (MPa): 1.62
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 9.058336 	 3.339957 	
1 	 857765.625000 	 9.056988 	 2.454911 	
2 	 735703.125000 	 9.052639 	 1.643474 	
3 	 630984.375000 	 9.054724 	 0.848903 	
4 	 541171.875000 	 9.060332 	 0.107572 	
5 	 464203.125000 	 9.073430 	 -0.618405 	
6 	 398109.375000 	 9.085209 	 -1.350050 	
7 	 341484.375000 	 9.104267 	 -2.085049 	
8 	 292921.875000 	 9.125931 	 -2.832856 	
9 	 251203.140625 	 9.150441 	 -3.660842 	
10 	 215484.375000 	 9.183753 	 -4.495840 	
11 	 184828.125000 	 9.223455 	 -5.428267 	
12 	 158578.125000 	 9.272371 	 -6.436190 	
13 	 135984.375000 	 9.329645 	 -7.524677 	
14 	 116671.867187 	 9.397895 	 -8.719030 	
15 	 100078.125000 	 9.485609 	 -10.030641 	
16 	 85828.125000 	 9.588839 	 -11.467519 	
17 	 73640.625000 	 9.708782 	 -13.066637 	
18 	 63140.625000 	 9.856978 	 -14.814698 	
19 	 54140.625000 	 10.032247 	 -16.723028 	
20 	 46453.125000 	 10.245688 	 -18.823469 	
21 	 39890.625000 	 10.498380 	 -21.072281 	
22 	 34171.875000 	 10.810367 	 -23.559004 	
23 	 29296.875000 	 11.181606 	 -26.203485 	
24 	 25171.875000 	 11.625101 	 -28.987720 	
25 	 21609.375000 	 12.166326 	 -31.941467 	
26 	 18515.625000 	 12.823653 	 -35.061539 	
27 	 15890.625000 	 13.611258 	 -38.240948 	
28 	 13640.625000 	 14.554645 	 -41.423653 	
29 	 11671.875000 	 15.710853 	 -44.715008 	
30 	 10078.125000 	 17.005836 	 -47.696075 	
31 	 8578.125000 	 18.691767 	 -50.919579 	
32 	 7359.375488 	 20.599764 	 -53.811043 	
33 	 6328.125000 	 22.794935 	 -56.501942 	
34 	 5376.838379 	 25.585358 	 -59.145622 	
35 	 4641.543945 	 28.530788 	 -61.358276 	
36 	 3984.374756 	 32.054489 	 -63.459652 	
37 	 3421.875000 	 36.133881 	 -65.325478 	
38 	 2953.125000 	 40.687767 	 -66.925316 	
39 	 2527.573486 	 46.199970 	 -68.468384 	
40 	 2159.926514 	 52.630959 	 -69.784592 	
41 	 1847.956665 	 59.962128 	 -71.000610 	
42 	 1577.524048 	 68.601913 	 -72.023811 	
43 	 1359.375000 	 77.860130 	 -72.874916 	
44 	 1171.875000 	 88.448959 	 -73.560715 	
45 	 998.263855 	 101.544273 	 -74.281685 	
46 	 856.370239 	 115.919205 	 -74.816216 	
47 	 737.847229 	 131.950806 	 -75.262596 	
48 	 627.790161 	 151.932129 	 -75.736710 	
49 	 544.084778 	 171.664322 	 -76.112572 	
50 	 460.379456 	 198.730148 	 -76.354637 	
51 	 397.995270 	 225.598557 	 -76.581123 	
52 	 340.221771 	 258.662537 	 -76.779129 	
53 	 292.968750 	 294.664093 	 -76.924416 	
54 	 252.403839 	 335.502045 	 -77.006042 	
55 	 217.013885 	 382.699646 	 -77.072044 	
56 	 186.011902 	 437.588959 	 -77.115654 	
57 	 158.361496 	 503.245575 	 -77.123260 	
58 	 135.216339 	 577.155334 	 -77.097198 	
59 	 117.187500 	 653.151855 	 -77.053452 	
