IMPEDANCE MEASUREMENT 
11:59:32.506 AM 6/24/2026
Chamber temperature (K): 294.73
Chamber pressure (MPa): 2.82
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 7.965915 	 3.390805 	
1 	 857765.625000 	 7.958743 	 2.431850 	
2 	 735703.125000 	 7.957243 	 1.539796 	
3 	 630984.375000 	 7.958819 	 0.684295 	
4 	 541171.875000 	 7.967817 	 -0.131570 	
5 	 464203.125000 	 7.975636 	 -0.944431 	
6 	 398109.375000 	 7.991745 	 -1.756621 	
7 	 341484.375000 	 8.009783 	 -2.571830 	
8 	 292921.875000 	 8.034332 	 -3.427680 	
9 	 251203.140625 	 8.064087 	 -4.330743 	
10 	 215484.375000 	 8.099133 	 -5.310376 	
11 	 184828.125000 	 8.141419 	 -6.353539 	
12 	 158578.125000 	 8.191479 	 -7.464354 	
13 	 135984.375000 	 8.255548 	 -8.706574 	
14 	 116671.867187 	 8.329219 	 -10.033712 	
15 	 100078.125000 	 8.422362 	 -11.515672 	
16 	 85828.125000 	 8.530732 	 -13.129408 	
17 	 73640.625000 	 8.659913 	 -14.899356 	
18 	 63140.625000 	 8.818851 	 -16.858734 	
19 	 54140.625000 	 9.006940 	 -18.973719 	
20 	 46453.125000 	 9.236883 	 -21.273764 	
21 	 39890.625000 	 9.508886 	 -23.743940 	
22 	 34171.875000 	 9.842091 	 -26.427698 	
23 	 29296.875000 	 10.246263 	 -29.277699 	
24 	 25171.875000 	 10.724857 	 -32.248745 	
25 	 21609.375000 	 11.305393 	 -35.341255 	
26 	 18515.625000 	 12.014899 	 -38.562370 	
27 	 15890.625000 	 12.856317 	 -41.779789 	
28 	 13640.625000 	 13.865627 	 -44.991821 	
29 	 11671.875000 	 15.096553 	 -48.195374 	
30 	 10078.125000 	 16.466904 	 -51.120510 	
31 	 8578.125000 	 18.233908 	 -54.141697 	
32 	 7359.375488 	 20.233608 	 -56.865734 	
33 	 6328.125000 	 22.525984 	 -59.331886 	
34 	 5376.838379 	 25.413177 	 -61.783089 	
35 	 4641.543945 	 28.447039 	 -63.788658 	
36 	 3984.374756 	 32.101086 	 -65.682114 	
37 	 3421.875000 	 36.294659 	 -67.343040 	
38 	 2953.125000 	 40.968708 	 -68.804321 	
39 	 2527.573486 	 46.629368 	 -70.136131 	
40 	 2159.926514 	 53.239208 	 -71.353592 	
41 	 1847.956665 	 60.773830 	 -72.399155 	
42 	 1577.524048 	 69.615372 	 -73.319443 	
43 	 1359.375000 	 79.155251 	 -74.043449 	
44 	 1171.875000 	 89.957344 	 -74.737808 	
45 	 998.263855 	 103.406868 	 -75.318741 	
46 	 856.370239 	 118.238113 	 -75.820915 	
47 	 737.847229 	 134.636185 	 -76.277733 	
48 	 627.790161 	 155.026642 	 -76.634712 	
49 	 544.084778 	 175.962021 	 -76.907722 	
50 	 460.379456 	 203.475632 	 -77.195480 	
51 	 397.995270 	 231.213440 	 -77.393936 	
52 	 340.221771 	 265.333679 	 -77.570335 	
53 	 292.968750 	 302.545227 	 -77.702850 	
54 	 252.403839 	 344.764130 	 -77.773132 	
55 	 217.013885 	 393.593994 	 -77.845924 	
56 	 186.011902 	 450.460114 	 -77.892097 	
57 	 158.361496 	 518.594788 	 -77.912827 	
58 	 135.216339 	 595.340881 	 -77.908821 	
59 	 117.187500 	 674.571960 	 -77.880234 	
