Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
11:57:12.021 AM 6/24/2026 	 4.020603 	 297.647000 	 44.546000 	 -113.774992 	 4.007513 	 297.647000 	 44.546000 	 -113.774992 	 108.446955 	 108.804844 	 299.065197
11:57:17.224 AM 6/24/2026 	 4.013213 	 297.647000 	 44.546000 	 -112.392008 	 4.012313 	 297.647000 	 44.546000 	 -112.392008 	 108.447074 	 108.804665 	 299.064672
11:57:22.318 AM 6/24/2026 	 4.018116 	 297.647000 	 44.546000 	 -112.764564 	 4.009948 	 297.647000 	 44.546000 	 -112.764564 	 108.447372 	 108.804963 	 299.064322
11:57:27.412 AM 6/24/2026 	 4.022132 	 297.647000 	 44.546000 	 -113.622209 	 3.999913 	 297.647000 	 44.546000 	 -113.622209 	 108.447372 	 108.805559 	 299.063923
11:57:32.488 AM 6/24/2026 	 4.027269 	 297.647000 	 44.546000 	 -113.622507 	 4.011492 	 297.647000 	 44.546000 	 -113.622507 	 108.447491 	 108.807286 	 299.063448
11:57:37.566 AM 6/24/2026 	 4.010951 	 297.647000 	 44.546000 	 -113.572152 	 3.994648 	 297.647000 	 44.546000 	 -113.572152 	 108.447551 	 108.807346 	 299.062699
11:57:42.651 AM 6/24/2026 	 4.015440 	 297.647000 	 44.546000 	 -114.065385 	 4.012284 	 297.647000 	 44.546000 	 -114.065385 	 108.447729 	 108.807286 	 299.061999
11:57:47.729 AM 6/24/2026 	 4.012215 	 297.647000 	 44.546000 	 -112.275158 	 4.012943 	 297.647000 	 44.546000 	 -112.275158 	 108.447848 	 108.807405 	 299.060725
11:57:52.803 AM 6/24/2026 	 4.028256 	 297.647000 	 44.546000 	 -113.739638 	 4.010975 	 297.647000 	 44.546000 	 -113.739638 	 108.447848 	 108.807822 	 299.059901
11:57:57.900 AM 6/24/2026 	 4.024712 	 297.647000 	 44.546000 	 -111.421291 	 4.016590 	 297.647000 	 44.546000 	 -111.421291 	 108.448504 	 108.808359 	 299.058702
