IMPEDANCE MEASUREMENT 
9:56:10.288 AM 2026-07-27
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 241461.968750 	 -86.691582 	
1 	 857765.625000 	 251988.406250 	 -88.288872 	
2 	 735703.125000 	 298694.000000 	 -87.144920 	
3 	 630984.375000 	 350930.468750 	 -85.829483 	
4 	 541171.875000 	 396323.562500 	 -86.157646 	
5 	 464203.125000 	 441591.468750 	 -87.369911 	
6 	 398109.375000 	 522631.500000 	 -86.434212 	
7 	 341484.375000 	 604820.062500 	 -83.371277 	
8 	 292921.875000 	 668624.437500 	 -85.265137 	
9 	 251203.140625 	 788754.125000 	 -83.384506 	
10 	 215484.375000 	 960559.125000 	 -78.635040 	
11 	 184828.125000 	 1052491.500000 	 -80.246864 	
12 	 158578.125000 	 1232959.500000 	 -85.505455 	
13 	 135984.375000 	 1379060.250000 	 -82.248764 	
14 	 116671.867187 	 1686800.000000 	 -78.402725 	
15 	 100078.125000 	 1903806.625000 	 -79.702148 	
16 	 85828.125000 	 2015703.375000 	 -77.411072 	
17 	 73640.625000 	 2540358.750000 	 -73.143372 	
18 	 63140.625000 	 2666123.750000 	 -71.529999 	
19 	 54140.625000 	 3318475.750000 	 -67.937256 	
20 	 46453.125000 	 3254506.750000 	 -71.682327 	
21 	 39890.625000 	 4068171.500000 	 -70.622826 	
22 	 34171.875000 	 4510134.000000 	 -66.336952 	
23 	 29296.875000 	 4787058.000000 	 -64.840591 	
24 	 25171.875000 	 5790039.000000 	 -61.250366 	
25 	 21609.375000 	 6285804.000000 	 -65.996376 	
26 	 18515.625000 	 7240248.500000 	 -68.181488 	
27 	 15890.625000 	 7878832.000000 	 -65.033630 	
28 	 13640.625000 	 7809744.500000 	 -65.053864 	
29 	 11671.875000 	 9302613.000000 	 -61.786713 	
30 	 10078.125000 	 12076106.000000 	 -62.508125 	
31 	 8578.125000 	 10898780.000000 	 -64.745934 	
32 	 7359.375488 	 10355344.000000 	 -60.400967 	
33 	 6328.125000 	 12689751.000000 	 -68.462868 	
34 	 5376.838379 	 13285578.000000 	 -71.282196 	
35 	 4641.543945 	 18122072.000000 	 -66.023880 	
36 	 3984.374756 	 15430549.000000 	 -60.655174 	
37 	 3421.875000 	 16595782.000000 	 -75.466980 	
38 	 2953.125000 	 38240300.000000 	 -77.348732 	
39 	 2527.573486 	 23262534.000000 	 -52.206131 	
40 	 2159.926514 	 30657528.000000 	 -71.683746 	
41 	 1847.956665 	 29416756.000000 	 -71.126747 	
42 	 1577.524048 	 39790784.000000 	 -73.758575 	
43 	 1359.375000 	 58192120.000000 	 -57.142956 	
44 	 1171.875000 	 61100168.000000 	 -35.227779 	
45 	 998.263855 	 30118324.000000 	 -72.735123 	
46 	 856.370239 	 23538826.000000 	 -97.180786 	
47 	 737.847229 	 48177108.000000 	 -86.192345 	
48 	 627.790161 	 93068088.000000 	 -46.237164 	
49 	 544.084778 	 29437754.000000 	 -143.041351 	
50 	 460.379456 	 126008968.000000 	 -77.553215 	
51 	 397.995270 	 139470064.000000 	 -102.107635 	
52 	 340.221771 	 192190992.000000 	 -88.158752 	
53 	 292.968750 	 91995760.000000 	 -105.002975 	
54 	 252.403839 	 160233872.000000 	 -67.318123 	
55 	 217.013885 	 197619792.000000 	 -89.829956 	
56 	 186.011902 	 262508736.000000 	 -109.181061 	
57 	 158.361496 	 252178176.000000 	 -105.119781 	
58 	 135.216339 	 183924880.000000 	 -44.701805 	
59 	 117.187500 	 878730752.000000 	 68.951050 	
