IMPEDANCE MEASUREMENT 
2:31:59.386 PM 2026-08-25
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 24.665094 	 12.885713 	
1 	 857765.625000 	 24.446228 	 7.268878 	
2 	 735703.125000 	 24.403547 	 6.580885 	
3 	 630984.375000 	 24.325830 	 4.322974 	
4 	 541171.875000 	 24.400785 	 3.593826 	
5 	 464203.125000 	 24.406919 	 1.772404 	
6 	 398109.375000 	 24.474947 	 1.167332 	
7 	 341484.375000 	 24.542767 	 -0.367729 	
8 	 292921.875000 	 24.640062 	 -1.060941 	
9 	 251203.140625 	 24.767467 	 -2.326256 	
10 	 215484.375000 	 24.945738 	 -2.979903 	
11 	 184828.125000 	 25.117643 	 -4.240038 	
12 	 158578.125000 	 25.330881 	 -4.918044 	
13 	 135984.375000 	 25.574402 	 -5.920695 	
14 	 116671.867187 	 25.820667 	 -6.882482 	
15 	 100078.125000 	 26.119497 	 -7.855092 	
16 	 85828.125000 	 26.437038 	 -8.885726 	
17 	 73640.625000 	 26.811306 	 -9.922801 	
18 	 63140.625000 	 27.211687 	 -10.863419 	
19 	 54140.625000 	 27.675413 	 -12.050069 	
20 	 46453.125000 	 28.173883 	 -13.259381 	
21 	 39890.625000 	 28.734829 	 -14.575803 	
22 	 34171.875000 	 29.381145 	 -15.930361 	
23 	 29296.875000 	 30.084152 	 -17.400709 	
24 	 25171.875000 	 30.865433 	 -18.917625 	
25 	 21609.375000 	 31.749754 	 -20.521713 	
26 	 18515.625000 	 32.749710 	 -22.262037 	
27 	 15890.625000 	 33.873695 	 -24.103619 	
28 	 13640.625000 	 35.151691 	 -26.056984 	
29 	 11671.875000 	 36.632450 	 -28.167936 	
30 	 10078.125000 	 38.239605 	 -30.229618 	
