IMPEDANCE MEASUREMENT 
3:01:51.715 PM 2026-08-25
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 24.686325 	 12.894965 	
1 	 857765.625000 	 24.465820 	 7.220119 	
2 	 735703.125000 	 24.444868 	 6.544477 	
3 	 630984.375000 	 24.380606 	 4.348567 	
4 	 541171.875000 	 24.402424 	 3.610853 	
5 	 464203.125000 	 24.415913 	 1.762609 	
6 	 398109.375000 	 24.501335 	 1.165730 	
7 	 341484.375000 	 24.556538 	 -0.365424 	
8 	 292921.875000 	 24.692331 	 -1.026555 	
9 	 251203.140625 	 24.798964 	 -2.348421 	
10 	 215484.375000 	 24.978271 	 -3.052161 	
