IMPEDANCE MEASUREMENT 
3:03:07.960 AM 2026-08-27
Chamber temperature (K): 293.64
Chamber pressure (MPa): 60
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 17.121065 	 15.104996 	
1 	 857765.625000 	 16.945236 	 12.547245 	
2 	 735703.125000 	 16.822487 	 10.213294 	
3 	 630984.375000 	 16.755180 	 8.099010 	
4 	 541171.875000 	 16.712208 	 6.209870 	
5 	 464203.125000 	 16.705141 	 4.451871 	
6 	 398109.375000 	 16.731344 	 2.859889 	
7 	 341484.375000 	 16.792313 	 1.343085 	
8 	 292921.875000 	 16.854303 	 -0.015569 	
9 	 251203.140625 	 16.953835 	 -1.351258 	
10 	 215484.375000 	 17.069712 	 -2.595294 	
11 	 184828.125000 	 17.209457 	 -3.804965 	
12 	 158578.125000 	 17.368261 	 -4.951070 	
13 	 135984.375000 	 17.555033 	 -6.114283 	
14 	 116671.867187 	 17.749508 	 -7.263648 	
15 	 100078.125000 	 17.982056 	 -8.399183 	
16 	 85828.125000 	 18.237875 	 -9.583466 	
17 	 73640.625000 	 18.521206 	 -10.789114 	
18 	 63140.625000 	 18.834970 	 -12.040757 	
19 	 54140.625000 	 19.186878 	 -13.351074 	
20 	 46453.125000 	 19.575504 	 -14.728618 	
21 	 39890.625000 	 20.011730 	 -16.162809 	
22 	 34171.875000 	 20.503363 	 -17.715641 	
23 	 29296.875000 	 21.051363 	 -19.320911 	
24 	 25171.875000 	 21.663200 	 -21.044645 	
25 	 21609.375000 	 22.356657 	 -22.868820 	
26 	 18515.625000 	 23.161203 	 -24.820942 	
27 	 15890.625000 	 24.060917 	 -26.870218 	
28 	 13640.625000 	 25.089653 	 -29.040312 	
29 	 11671.875000 	 26.311543 	 -31.365759 	
30 	 10078.125000 	 27.644676 	 -33.628376 	
31 	 8578.125000 	 29.332476 	 -36.169361 	
32 	 7359.375488 	 31.203562 	 -38.691093 	
33 	 6328.125000 	 33.339584 	 -41.214859 	
34 	 5376.838379 	 36.038418 	 -43.900322 	
35 	 4641.543945 	 38.852531 	 -46.292587 	
36 	 3984.374756 	 42.239632 	 -48.750198 	
37 	 3421.875000 	 46.145153 	 -51.138412 	
38 	 2953.125000 	 50.527569 	 -53.362392 	
39 	 2527.573486 	 55.846130 	 -55.566082 	
40 	 2159.926514 	 62.045208 	 -57.734745 	
41 	 1847.956665 	 69.118202 	 -59.676434 	
42 	 1577.524048 	 77.450241 	 -61.563782 	
43 	 1359.375000 	 86.430733 	 -63.171803 	
44 	 1171.875000 	 96.655952 	 -64.734558 	
45 	 998.263855 	 109.404091 	 -66.221359 	
46 	 856.370239 	 123.469467 	 -67.492714 	
47 	 737.847229 	 138.993546 	 -68.684990 	
48 	 627.790161 	 158.164551 	 -69.972755 	
49 	 544.084778 	 177.773727 	 -70.824661 	
50 	 460.379456 	 204.008591 	 -71.857208 	
51 	 397.995270 	 230.289032 	 -72.676239 	
52 	 340.221771 	 262.662842 	 -73.481766 	
53 	 292.968750 	 298.030457 	 -74.190895 	
54 	 252.403839 	 338.214386 	 -74.808586 	
55 	 217.013885 	 384.818024 	 -75.427681 	
56 	 186.011902 	 439.369049 	 -76.011459 	
57 	 158.361496 	 504.914124 	 -76.573639 	
58 	 135.216339 	 579.196350 	 -77.091049 	
59 	 117.187500 	 656.154297 	 -77.522049 	
