IMPEDANCE MEASUREMENT 
5:05:29.857 PM 2026-08-31
Chamber temperature (K): 275.73
Chamber pressure (MPa): 83
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 24.760643 	 12.951691 	
1 	 857765.625000 	 24.530626 	 8.218890 	
2 	 735703.125000 	 24.462078 	 5.679040 	
3 	 630984.375000 	 24.436867 	 5.004664 	
4 	 541171.875000 	 24.413286 	 2.948970 	
5 	 464203.125000 	 24.455870 	 2.375638 	
6 	 398109.375000 	 24.518351 	 0.640566 	
7 	 341484.375000 	 24.621538 	 0.035221 	
8 	 292921.875000 	 24.710871 	 -1.418953 	
9 	 251203.140625 	 24.863586 	 -2.114218 	
10 	 215484.375000 	 24.993406 	 -3.363058 	
11 	 184828.125000 	 25.195654 	 -4.106218 	
12 	 158578.125000 	 25.404387 	 -5.072109 	
13 	 135984.375000 	 25.632088 	 -5.997378 	
14 	 116671.867187 	 25.910664 	 -7.023486 	
15 	 100078.125000 	 26.206320 	 -7.997599 	
16 	 85828.125000 	 26.532639 	 -9.036418 	
17 	 73640.625000 	 26.908991 	 -10.107512 	
18 	 63140.625000 	 27.305849 	 -11.085123 	
19 	 54140.625000 	 27.776987 	 -12.284985 	
20 	 46453.125000 	 28.287043 	 -13.545650 	
21 	 39890.625000 	 28.871769 	 -14.865426 	
22 	 34171.875000 	 29.522161 	 -16.275707 	
23 	 29296.875000 	 30.245737 	 -17.772068 	
24 	 25171.875000 	 31.039968 	 -19.330984 	
25 	 21609.375000 	 31.954494 	 -21.002684 	
26 	 18515.625000 	 32.977360 	 -22.809259 	
27 	 15890.625000 	 34.132851 	 -24.708765 	
28 	 13640.625000 	 35.453293 	 -26.693296 	
29 	 11671.875000 	 37.008476 	 -28.867691 	
30 	 10078.125000 	 38.693840 	 -31.015247 	
31 	 8578.125000 	 40.791798 	 -33.471767 	
32 	 7359.375488 	 43.145920 	 -35.889931 	
33 	 6328.125000 	 45.799629 	 -38.314369 	
34 	 5376.838379 	 49.158833 	 -40.983952 	
35 	 4641.543945 	 52.673702 	 -43.386162 	
36 	 3984.374756 	 56.902676 	 -45.891281 	
37 	 3421.875000 	 61.777676 	 -48.321934 	
38 	 2953.125000 	 67.224731 	 -50.648331 	
39 	 2527.573486 	 73.882294 	 -52.966618 	
40 	 2159.926514 	 81.649956 	 -55.246120 	
41 	 1847.956665 	 90.609329 	 -57.400944 	
42 	 1577.524048 	 101.039429 	 -59.427589 	
43 	 1359.375000 	 112.433868 	 -61.212887 	
44 	 1171.875000 	 125.339592 	 -62.859840 	
45 	 998.263855 	 141.261383 	 -64.561562 	
46 	 856.370239 	 158.915771 	 -66.022102 	
47 	 737.847229 	 178.605759 	 -67.301483 	
48 	 627.790161 	 202.854523 	 -68.654205 	
49 	 544.084778 	 227.853607 	 -69.730423 	
50 	 460.379456 	 261.180420 	 -70.801552 	
51 	 397.995270 	 294.501495 	 -71.708023 	
52 	 340.221771 	 335.521027 	 -72.543793 	
53 	 292.968750 	 380.406860 	 -73.326782 	
54 	 252.403839 	 431.474976 	 -74.037491 	
55 	 217.013885 	 490.652802 	 -74.697388 	
56 	 186.011902 	 559.825256 	 -75.308167 	
57 	 158.361496 	 642.986572 	 -75.899239 	
58 	 135.216339 	 737.112000 	 -76.417068 	
59 	 117.187500 	 834.603760 	 -76.849800 	
