IMPEDANCE MEASUREMENT 
10:35:44.512 AM 2026-09-08
Chamber temperature (K): 302.93
Chamber pressure (MPa): 155.57
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 14.719883 	 17.828579 	
1 	 857765.625000 	 14.507589 	 14.872073 	
2 	 735703.125000 	 14.359334 	 12.215769 	
3 	 630984.375000 	 14.263916 	 9.751111 	
4 	 541171.875000 	 14.210580 	 7.529234 	
5 	 464203.125000 	 14.196527 	 5.500317 	
6 	 398109.375000 	 14.207736 	 3.632575 	
7 	 341484.375000 	 14.253960 	 1.889910 	
8 	 292921.875000 	 14.321847 	 0.288164 	
9 	 251203.140625 	 14.410043 	 -1.243947 	
10 	 215484.375000 	 14.514116 	 -2.668105 	
11 	 184828.125000 	 14.652785 	 -4.055985 	
12 	 158578.125000 	 14.800636 	 -5.390800 	
13 	 135984.375000 	 14.971361 	 -6.699162 	
14 	 116671.867187 	 15.172464 	 -8.038943 	
15 	 100078.125000 	 15.383974 	 -9.313917 	
16 	 85828.125000 	 15.633103 	 -10.637221 	
17 	 73640.625000 	 15.904875 	 -12.009560 	
18 	 63140.625000 	 16.210896 	 -13.430583 	
19 	 54140.625000 	 16.550152 	 -14.903057 	
20 	 46453.125000 	 16.934618 	 -16.445810 	
21 	 39890.625000 	 17.364931 	 -18.033041 	
22 	 34171.875000 	 17.854496 	 -19.752743 	
23 	 29296.875000 	 18.402428 	 -21.558657 	
24 	 25171.875000 	 19.015516 	 -23.434000 	
25 	 21609.375000 	 19.717615 	 -25.415089 	
26 	 18515.625000 	 20.531534 	 -27.538109 	
27 	 15890.625000 	 21.453249 	 -29.713619 	
28 	 13640.625000 	 22.512482 	 -32.008190 	
29 	 11671.875000 	 23.764605 	 -34.423862 	
30 	 10078.125000 	 25.117390 	 -36.764523 	
31 	 8578.125000 	 26.845778 	 -39.392673 	
32 	 7359.375488 	 28.753942 	 -41.899906 	
33 	 6328.125000 	 30.933140 	 -44.409203 	
34 	 5376.838379 	 33.689796 	 -47.012157 	
35 	 4641.543945 	 36.563957 	 -49.345615 	
36 	 3984.374756 	 39.985615 	 -51.708878 	
37 	 3421.875000 	 43.954376 	 -53.972187 	
38 	 2953.125000 	 48.362137 	 -56.054249 	
39 	 2527.573486 	 53.718925 	 -58.131088 	
40 	 2159.926514 	 59.969555 	 -60.135410 	
41 	 1847.956665 	 67.114807 	 -61.920628 	
42 	 1577.524048 	 75.499306 	 -63.627148 	
43 	 1359.375000 	 84.502296 	 -65.124855 	
44 	 1171.875000 	 94.771530 	 -66.490532 	
45 	 998.263855 	 107.552872 	 -67.832329 	
46 	 856.370239 	 121.424698 	 -69.051575 	
47 	 737.847229 	 137.176865 	 -70.117294 	
48 	 627.790161 	 156.590744 	 -71.192497 	
49 	 544.084778 	 176.207764 	 -71.984352 	
50 	 460.379456 	 202.434906 	 -72.923401 	
51 	 397.995270 	 228.791016 	 -73.660286 	
52 	 340.221771 	 261.294800 	 -74.391899 	
53 	 292.968750 	 296.800598 	 -75.029327 	
54 	 252.403839 	 337.159912 	 -75.575897 	
55 	 217.013885 	 384.038696 	 -76.131729 	
56 	 186.011902 	 438.817078 	 -76.657692 	
57 	 158.361496 	 504.714722 	 -77.166740 	
58 	 135.216339 	 579.427429 	 -77.630547 	
59 	 117.187500 	 656.866089 	 -78.016830 	
