IMPEDANCE MEASUREMENT 
11:20:08.604 AM 2026-09-17
Chamber temperature (K): 301.46
Chamber pressure (MPa): 2.35
Description: 	PointFivemolal_NaCl
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 29.288887 	 21.823202 	
1 	 857765.625000 	 28.550882 	 19.152958 	
2 	 735703.125000 	 27.962969 	 16.765217 	
3 	 630984.375000 	 27.488802 	 14.621477 	
4 	 541171.875000 	 27.119467 	 12.640288 	
5 	 464203.125000 	 26.813566 	 10.933340 	
6 	 398109.375000 	 25.343319 	 4.430131 	
7 	 341484.375000 	 25.195107 	 2.709712 	
8 	 292921.875000 	 25.284325 	 2.618292 	
9 	 251203.140625 	 25.194387 	 1.191152 	
10 	 215484.375000 	 25.307468 	 1.052266 	
11 	 184828.125000 	 25.242256 	 -0.154578 	
12 	 158578.125000 	 25.358932 	 -0.414808 	
13 	 135984.375000 	 25.411009 	 -1.085426 	
14 	 116671.867187 	 25.447750 	 -1.760908 	
15 	 100078.125000 	 25.534609 	 -2.462244 	
16 	 85828.125000 	 25.624361 	 -3.178576 	
17 	 73640.625000 	 25.730637 	 -3.939832 	
18 	 63140.625000 	 25.856592 	 -4.715905 	
19 	 54140.625000 	 25.998909 	 -5.560668 	
20 	 46453.125000 	 26.170664 	 -6.446326 	
21 	 39890.625000 	 26.358927 	 -7.401999 	
22 	 34171.875000 	 26.584904 	 -8.433915 	
23 	 29296.875000 	 26.851997 	 -9.577521 	
24 	 25171.875000 	 27.395159 	 -10.282127 	
25 	 21609.375000 	 27.738899 	 -11.694356 	
26 	 18515.625000 	 28.124552 	 -13.224826 	
27 	 15890.625000 	 28.581327 	 -14.886875 	
28 	 13640.625000 	 29.109072 	 -16.681200 	
29 	 11671.875000 	 29.747183 	 -18.696756 	
30 	 10078.125000 	 30.440413 	 -20.738062 	
31 	 8578.125000 	 31.352867 	 -23.206964 	
32 	 7359.375488 	 32.396584 	 -25.736811 	
33 	 6328.125000 	 33.614998 	 -28.429617 	
34 	 5376.838379 	 35.207016 	 -31.489103 	
35 	 4641.543945 	 36.938374 	 -34.417240 	
36 	 3984.374756 	 39.087193 	 -37.573689 	
37 	 3421.875000 	 41.698212 	 -40.765625 	
38 	 2953.125000 	 44.681080 	 -43.909843 	
39 	 2527.573486 	 48.449024 	 -47.203033 	
40 	 2159.926514 	 52.993263 	 -50.435715 	
41 	 1847.956665 	 58.376869 	 -53.542755 	
42 	 1577.524048 	 64.808441 	 -56.533253 	
43 	 1359.375000 	 71.974434 	 -59.142429 	
44 	 1171.875000 	 80.245415 	 -61.600868 	
45 	 998.263855 	 90.756218 	 -63.999752 	
46 	 856.370239 	 102.436630 	 -66.097397 	
47 	 737.847229 	 115.573975 	 -67.974892 	
48 	 627.790161 	 132.062408 	 -69.740715 	
49 	 544.084778 	 148.987610 	 -71.231674 	
50 	 460.379456 	 171.915787 	 -72.734756 	
51 	 397.995270 	 195.024780 	 -73.919731 	
52 	 340.221771 	 223.699493 	 -75.055511 	
53 	 292.968750 	 255.177673 	 -76.036980 	
54 	 252.403839 	 291.298370 	 -76.916664 	
55 	 217.013885 	 360.626465 	 -77.612671 	
56 	 186.011902 	 414.109955 	 -78.359840 	
57 	 158.361496 	 478.673431 	 -79.069878 	
58 	 135.216339 	 552.129517 	 -79.701355 	
59 	 117.187500 	 628.698425 	 -80.228416 	
