IMPEDANCE MEASUREMENT 
4:52:05.708 PM 2026-09-17
Chamber temperature (K): 299.06
Chamber pressure (MPa): 2.55
Description: 	PointFivemolal_NaCl
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 31.701048 	 19.532953 	
1 	 857765.625000 	 31.046190 	 17.065952 	
2 	 735703.125000 	 30.509369 	 14.892880 	
3 	 630984.375000 	 30.094198 	 12.948625 	
4 	 541171.875000 	 29.751678 	 11.228919 	
5 	 464203.125000 	 29.471468 	 9.644222 	
6 	 398109.375000 	 29.238207 	 8.200750 	
7 	 341484.375000 	 29.065317 	 6.917493 	
8 	 292921.875000 	 28.909843 	 5.739567 	
9 	 251203.140625 	 28.812031 	 4.656058 	
10 	 215484.375000 	 28.728136 	 3.623909 	
11 	 184828.125000 	 28.665693 	 2.640545 	
12 	 158578.125000 	 28.623281 	 1.754104 	
13 	 135984.375000 	 28.625443 	 0.881822 	
14 	 116671.867187 	 28.632582 	 0.017421 	
15 	 100078.125000 	 28.671532 	 -0.789848 	
16 	 85828.125000 	 28.722040 	 -1.626392 	
17 	 73640.625000 	 28.807787 	 -2.462123 	
18 	 63140.625000 	 28.909273 	 -3.349473 	
19 	 54140.625000 	 29.046600 	 -4.227026 	
20 	 46453.125000 	 29.190920 	 -5.147835 	
21 	 39890.625000 	 29.381607 	 -6.135226 	
22 	 34171.875000 	 29.594475 	 -7.167388 	
23 	 29296.875000 	 29.846455 	 -8.291525 	
24 	 25171.875000 	 30.127625 	 -9.461039 	
25 	 21609.375000 	 30.463375 	 -10.732889 	
26 	 18515.625000 	 30.849319 	 -12.165073 	
27 	 15890.625000 	 31.291361 	 -13.689564 	
28 	 13640.625000 	 31.812666 	 -15.358713 	
29 	 11671.875000 	 32.422493 	 -17.228752 	
30 	 10078.125000 	 33.103073 	 -19.157028 	
31 	 8578.125000 	 33.987312 	 -21.470856 	
32 	 7359.375488 	 34.983170 	 -23.847069 	
33 	 6328.125000 	 36.162560 	 -26.401533 	
34 	 5376.838379 	 37.691910 	 -29.369186 	
35 	 4641.543945 	 39.353546 	 -32.194851 	
36 	 3984.374756 	 41.445988 	 -35.279629 	
37 	 3421.875000 	 43.938736 	 -38.448067 	
38 	 2953.125000 	 46.824776 	 -41.595879 	
39 	 2527.573486 	 50.503830 	 -44.904045 	
40 	 2159.926514 	 54.939735 	 -48.236969 	
41 	 1847.956665 	 60.220791 	 -51.441547 	
42 	 1577.524048 	 66.553902 	 -54.576744 	
43 	 1359.375000 	 73.615242 	 -57.329147 	
44 	 1171.875000 	 81.853561 	 -59.919754 	
45 	 998.263855 	 92.259903 	 -62.505573 	
46 	 856.370239 	 103.855682 	 -64.757957 	
47 	 737.847229 	 116.983574 	 -66.774338 	
48 	 627.790161 	 133.473587 	 -68.790298 	
49 	 544.084778 	 150.416122 	 -70.335884 	
50 	 460.379456 	 173.194458 	 -71.959198 	
51 	 397.995270 	 196.334106 	 -73.252251 	
52 	 340.221771 	 225.038589 	 -74.508606 	
53 	 292.968750 	 256.629852 	 -75.581818 	
54 	 252.403839 	 292.825165 	 -76.553764 	
55 	 217.013885 	 369.733582 	 -77.321686 	
56 	 186.011902 	 424.426544 	 -78.147598 	
57 	 158.361496 	 490.619995 	 -78.931801 	
58 	 135.216339 	 565.941895 	 -79.636902 	
59 	 117.187500 	 644.410156 	 -80.219101 	
