IMPEDANCE MEASUREMENT 
12:21:28.848 PM 2026-09-21
Chamber temperature (K): 298.07
Chamber pressure (MPa): 2.14
Description: 	PointFivemolal_NaCl
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 27.293293 	 17.194012 	
1 	 857765.625000 	 25.880259 	 10.082431 	
2 	 735703.125000 	 25.669455 	 7.588017 	
3 	 630984.375000 	 25.662886 	 7.349055 	
4 	 541171.875000 	 25.480021 	 5.314290 	
5 	 464203.125000 	 25.530090 	 5.177065 	
6 	 398109.375000 	 25.417618 	 3.603586 	
7 	 341484.375000 	 25.459749 	 3.416995 	
8 	 292921.875000 	 25.398129 	 2.198186 	
9 	 251203.140625 	 25.410671 	 1.979722 	
10 	 215484.375000 	 25.385813 	 0.976186 	
11 	 184828.125000 	 25.429701 	 0.745911 	
12 	 158578.125000 	 25.444775 	 0.150363 	
13 	 135984.375000 	 25.464336 	 -0.418392 	
14 	 116671.867187 	 25.483713 	 -0.987419 	
15 	 100078.125000 	 25.533213 	 -1.544999 	
16 	 85828.125000 	 25.574091 	 -2.143061 	
17 	 73640.625000 	 25.632553 	 -2.779471 	
18 	 63140.625000 	 25.700335 	 -3.432789 	
19 	 54140.625000 	 25.786621 	 -4.153871 	
20 	 46453.125000 	 25.884493 	 -4.916833 	
21 	 39890.625000 	 25.995888 	 -5.744154 	
22 	 34171.875000 	 26.141928 	 -6.685587 	
23 	 29296.875000 	 26.309309 	 -7.693469 	
24 	 25171.875000 	 26.505949 	 -8.796279 	
25 	 21609.375000 	 26.736712 	 -10.021910 	
26 	 18515.625000 	 27.186951 	 -11.184288 	
27 	 15890.625000 	 27.507915 	 -12.728524 	
28 	 13640.625000 	 27.903370 	 -14.412838 	
29 	 11671.875000 	 28.371778 	 -16.294956 	
30 	 10078.125000 	 28.899904 	 -18.263227 	
31 	 8578.125000 	 29.596800 	 -20.601812 	
32 	 7359.375488 	 30.391418 	 -23.066578 	
33 	 6328.125000 	 31.335873 	 -25.688847 	
34 	 5376.838379 	 32.607239 	 -28.753620 	
35 	 4641.543945 	 33.978466 	 -31.707005 	
36 	 3984.374756 	 35.728264 	 -34.940151 	
37 	 3421.875000 	 37.839603 	 -38.263561 	
38 	 2953.125000 	 40.308712 	 -41.585068 	
39 	 2527.573486 	 43.458508 	 -45.094925 	
40 	 2159.926514 	 47.312954 	 -48.613663 	
41 	 1847.956665 	 51.903133 	 -51.984753 	
42 	 1577.524048 	 57.481682 	 -55.289444 	
43 	 1359.375000 	 63.688114 	 -58.197525 	
44 	 1171.875000 	 70.979347 	 -60.901726 	
45 	 998.263855 	 80.175400 	 -63.614052 	
46 	 856.370239 	 90.599716 	 -65.962410 	
47 	 737.847229 	 102.296646 	 -68.064705 	
48 	 627.790161 	 117.162560 	 -70.054352 	
49 	 544.084778 	 132.354935 	 -71.685791 	
50 	 460.379456 	 153.080170 	 -73.345345 	
51 	 397.995270 	 174.058929 	 -74.642540 	
52 	 340.221771 	 200.153503 	 -75.883438 	
53 	 292.968750 	 228.932739 	 -76.940453 	
54 	 252.403839 	 261.977325 	 -77.870461 	
55 	 217.013885 	 300.571259 	 -78.714455 	
56 	 186.011902 	 364.528046 	 -79.415054 	
57 	 158.361496 	 422.556580 	 -80.120735 	
58 	 135.216339 	 488.750275 	 -80.756248 	
59 	 117.187500 	 557.727417 	 -81.272827 	
