IMPEDANCE MEASUREMENT 
3:27:24.614 PM 2026-09-25
Chamber temperature (K): 295.56
Chamber pressure (MPa): 2.32
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 12.092462 	 15.475780 	
1 	 857765.625000 	 12.074501 	 11.007435 	
2 	 735703.125000 	 12.159674 	 7.060373 	
3 	 630984.375000 	 12.326626 	 3.579678 	
4 	 541171.875000 	 12.567399 	 0.583263 	
5 	 464203.125000 	 12.843206 	 -2.009182 	
6 	 398109.375000 	 13.168993 	 -4.185547 	
7 	 341484.375000 	 13.528685 	 -5.991673 	
8 	 292921.875000 	 13.906941 	 -7.570888 	
9 	 251203.140625 	 14.306425 	 -8.831969 	
10 	 215484.375000 	 14.735115 	 -9.909053 	
11 	 184828.125000 	 15.172605 	 -10.759201 	
12 	 158578.125000 	 15.605018 	 -11.436353 	
13 	 135984.375000 	 16.061653 	 -11.986547 	
14 	 116671.867187 	 16.509109 	 -12.351669 	
15 	 100078.125000 	 16.950531 	 -12.644316 	
16 	 85828.125000 	 17.395729 	 -12.872317 	
17 	 73640.625000 	 17.809374 	 -13.047916 	
18 	 63140.625000 	 18.221735 	 -13.154525 	
19 	 54140.625000 	 18.630873 	 -13.314826 	
20 	 46453.125000 	 19.002293 	 -13.489278 	
21 	 39890.625000 	 19.369328 	 -13.731353 	
22 	 34171.875000 	 19.739212 	 -14.093220 	
23 	 29296.875000 	 20.095818 	 -14.528327 	
24 	 25171.875000 	 20.454145 	 -15.086476 	
25 	 21609.375000 	 20.800438 	 -15.860207 	
26 	 18515.625000 	 21.173431 	 -16.737175 	
27 	 15890.625000 	 21.582281 	 -17.851698 	
28 	 13640.625000 	 22.017576 	 -19.123734 	
29 	 11671.875000 	 22.508940 	 -20.633224 	
30 	 10078.125000 	 23.029598 	 -22.293751 	
31 	 8578.125000 	 23.697781 	 -24.381281 	
32 	 7359.375488 	 24.446121 	 -26.640352 	
33 	 6328.125000 	 25.328665 	 -29.065372 	
34 	 5376.838379 	 26.483419 	 -31.955462 	
35 	 4641.543945 	 27.720360 	 -34.741493 	
36 	 3984.374756 	 46.391113 	 -32.277733 	
37 	 3421.875000 	 48.890991 	 -35.253513 	
38 	 2953.125000 	 51.816418 	 -38.256405 	
39 	 2527.573486 	 55.588856 	 -41.345066 	
40 	 2159.926514 	 60.065777 	 -44.465862 	
41 	 1847.956665 	 65.380058 	 -47.399265 	
42 	 1577.524048 	 71.821068 	 -50.290058 	
43 	 1359.375000 	 78.793884 	 -52.777149 	
44 	 1171.875000 	 86.929878 	 -55.151051 	
45 	 998.263855 	 97.023643 	 -57.452515 	
46 	 856.370239 	 108.195068 	 -59.461781 	
47 	 737.847229 	 120.645370 	 -61.251301 	
48 	 627.790161 	 136.091202 	 -62.916088 	
49 	 544.084778 	 151.865463 	 -64.357773 	
50 	 460.379456 	 172.714905 	 -65.786629 	
51 	 397.995270 	 193.466507 	 -66.927505 	
52 	 340.221771 	 218.830841 	 -68.053101 	
53 	 292.968750 	 246.196487 	 -69.028923 	
54 	 252.403839 	 277.199127 	 -69.967331 	
55 	 217.013885 	 1002.610779 	 -50.883568 	
56 	 186.011902 	 1091.955200 	 -50.783131 	
57 	 158.361496 	 1193.167114 	 -50.857819 	
58 	 135.216339 	 1296.564331 	 -50.963043 	
59 	 117.187500 	 1396.912720 	 -51.154663 	
