# Mahboub et al. (2026) - Benchtop Conductivity Measurements
#
# Instrument: Thermo Scientific ORION Star A329 Conductivity Meter
# Reference: See Mahboub et al. (2026) manuscript for full methodology
#
# Data description:
# - All measurements from benchtop conductivity probe
# - Gamry impedance data analyzed separately from raw Gamry files
# - Three replicates per condition
# - Temperatures: -10°C, -6°C, -3°C, -1°C, 5°C, 20°C, 25°C
# - Compounds: NaCl, MgSO4, NH4Cl, Na2CO3, Mixture (1:1:1 MgSO4:NaCl:Na2CO3)
#
# Columns:
#   compound: Chemical formula
#   concentration_molal: Molality (mol/kg_H2O)
#   temperature_C: Temperature (Celsius)
#   temperature_K: Temperature (Kelvin)
#   conductivity_Sm: Conductivity (S/m)
#   source: Data source ('benchtop' for all entries)
#   notes: Additional notes (e.g., original concentration in g/kg)
#
compound,concentration_molal,temperature_C,temperature_K,conductivity_Sm,replicate,source,notes
# NaCl benchtop data - concentrations in mol/kg (molal), converted from g/kg by dividing by molar mass 58.44
NaCl,0.1711,25,298.15,1.788,1,benchtop,10 g/kg / 58.44
NaCl,0.5133,25,298.15,4.861,1,benchtop,30 g/kg / 58.44
NaCl,0.8556,25,298.15,7.49,1,benchtop,50 g/kg / 58.44
NaCl,1.2834,25,298.15,10.57,1,benchtop,75 g/kg / 58.44
NaCl,1.7112,25,298.15,13.23,1,benchtop,100 g/kg / 58.44
NaCl,2.5667,25,298.15,17.66,1,benchtop,150 g/kg / 58.44
NaCl,0.1711,25,298.15,1.777,2,benchtop,
NaCl,0.5133,25,298.15,4.875,2,benchtop,
NaCl,0.8556,25,298.15,7.501,2,benchtop,
NaCl,1.2834,25,298.15,10.55,2,benchtop,
NaCl,1.7112,25,298.15,13.28,2,benchtop,
NaCl,2.5667,25,298.15,17.63,2,benchtop,
NaCl,0.1711,25,298.15,1.753,3,benchtop,
NaCl,0.5133,25,298.15,4.885,3,benchtop,
NaCl,0.8556,25,298.15,7.591,3,benchtop,
NaCl,1.2834,25,298.15,10.5,3,benchtop,
NaCl,1.7112,25,298.15,13.26,3,benchtop,
NaCl,2.5667,25,298.15,17.52,3,benchtop,
NaCl,0.1711,20,293.15,1.625,1,benchtop,10 g/kg / 58.44
NaCl,0.5133,20,293.15,4.419,1,benchtop,30 g/kg / 58.44
NaCl,0.8556,20,293.15,6.809,1,benchtop,50 g/kg / 58.44
NaCl,1.2834,20,293.15,9.606,1,benchtop,75 g/kg / 58.44
NaCl,1.7112,20,293.15,12.03,1,benchtop,100 g/kg / 58.44
NaCl,2.5667,20,293.15,16.05,1,benchtop,150 g/kg / 58.44
NaCl,0.1711,20,293.15,1.615,2,benchtop,
NaCl,0.5133,20,293.15,4.432,2,benchtop,
NaCl,0.8556,20,293.15,6.819,2,benchtop,
NaCl,1.2834,20,293.15,9.593,2,benchtop,
NaCl,1.7112,20,293.15,12.07,2,benchtop,
NaCl,2.5667,20,293.15,16.03,2,benchtop,
NaCl,0.1711,20,293.15,1.594,3,benchtop,
NaCl,0.5133,20,293.15,4.441,3,benchtop,
NaCl,0.8556,20,293.15,6.901,3,benchtop,
NaCl,1.2834,20,293.15,9.541,3,benchtop,
NaCl,1.7112,20,293.15,12.05,3,benchtop,
NaCl,2.5667,20,293.15,15.93,3,benchtop,
NaCl,0.1711,5,278.15,1.188,1,benchtop,10 g/kg / 58.44
NaCl,0.5133,5,278.15,3.124,1,benchtop,30 g/kg / 58.44
NaCl,0.8556,5,278.15,4.789,1,benchtop,50 g/kg / 58.44
NaCl,1.2834,5,278.15,6.813,1,benchtop,75 g/kg / 58.44
NaCl,1.7112,5,278.15,8.599,1,benchtop,100 g/kg / 58.44
NaCl,2.5667,5,278.15,11.28,1,benchtop,150 g/kg / 58.44
NaCl,0.1711,5,278.15,1.201,2,benchtop,
NaCl,0.5133,5,278.15,3.119,2,benchtop,
NaCl,0.8556,5,278.15,4.823,2,benchtop,
NaCl,1.2834,5,278.15,6.925,2,benchtop,
NaCl,1.7112,5,278.15,8.61,2,benchtop,
NaCl,2.5667,5,278.15,11.49,2,benchtop,
NaCl,0.1711,5,278.15,1.157,3,benchtop,
NaCl,0.5133,5,278.15,3.16,3,benchtop,
NaCl,0.8556,5,278.15,4.94,3,benchtop,
NaCl,1.2834,5,278.15,6.783,3,benchtop,
NaCl,1.7112,5,278.15,8.787,3,benchtop,
NaCl,2.5667,5,278.15,11.25,3,benchtop,
NaCl,0.1711,-1,272.15,0.9843,1,benchtop,10 g/kg / 58.44
NaCl,0.5133,-1,272.15,2.697,1,benchtop,30 g/kg / 58.44
NaCl,0.8556,-1,272.15,4.033,1,benchtop,50 g/kg / 58.44
NaCl,1.2834,-1,272.15,5.744,1,benchtop,75 g/kg / 58.44
NaCl,1.7112,-1,272.15,7.101,1,benchtop,100 g/kg / 58.44
NaCl,2.5667,-1,272.15,9.474,1,benchtop,150 g/kg / 58.44
NaCl,0.1711,-1,272.15,0.9862,2,benchtop,
NaCl,0.5133,-1,272.15,2.649,2,benchtop,
NaCl,0.8556,-1,272.15,4.2,2,benchtop,
NaCl,1.2834,-1,272.15,5.678,2,benchtop,
NaCl,1.7112,-1,272.15,7.108,2,benchtop,
NaCl,2.5667,-1,272.15,9.581,2,benchtop,
NaCl,0.1711,-1,272.15,0.9835,3,benchtop,
NaCl,0.5133,-1,272.15,2.751,3,benchtop,
NaCl,0.8556,-1,272.15,4.108,3,benchtop,
NaCl,1.2834,-1,272.15,5.664,3,benchtop,
NaCl,1.7112,-1,272.15,7.371,3,benchtop,
NaCl,2.5667,-1,272.15,9.58,3,benchtop,
NaCl,0.1711,-3,270.15,1.033,1,benchtop,10 g/kg / 58.44
NaCl,0.5133,-3,270.15,2.548,1,benchtop,30 g/kg / 58.44
NaCl,0.8556,-3,270.15,3.818,1,benchtop,50 g/kg / 58.44
NaCl,1.2834,-3,270.15,5.468,1,benchtop,75 g/kg / 58.44
NaCl,1.7112,-3,270.15,7.074,1,benchtop,100 g/kg / 58.44
NaCl,2.5667,-3,270.15,9.373,1,benchtop,150 g/kg / 58.44
NaCl,0.1711,-3,270.15,0.9593,2,benchtop,
NaCl,0.5133,-3,270.15,2.532,2,benchtop,
NaCl,0.8556,-3,270.15,4.045,2,benchtop,
NaCl,1.2834,-3,270.15,5.473,2,benchtop,
NaCl,1.7112,-3,270.15,6.913,2,benchtop,
NaCl,2.5667,-3,270.15,9.216,2,benchtop,
NaCl,0.1711,-3,270.15,0.9547,3,benchtop,
NaCl,0.5133,-3,270.15,2.435,3,benchtop,
NaCl,0.8556,-3,270.15,3.969,3,benchtop,
NaCl,1.2834,-3,270.15,5.497,3,benchtop,
NaCl,1.7112,-3,270.15,7.031,3,benchtop,
NaCl,2.5667,-3,270.15,9.105,3,benchtop,
NaCl,0.1711,-6,267.15,0.8755,1,benchtop,10 g/kg / 58.44
NaCl,0.5133,-6,267.15,2.362,1,benchtop,30 g/kg / 58.44
NaCl,0.8556,-6,267.15,3.553,1,benchtop,50 g/kg / 58.44
NaCl,1.2834,-6,267.15,5.067,1,benchtop,75 g/kg / 58.44
NaCl,1.7112,-6,267.15,6.26,1,benchtop,100 g/kg / 58.44
NaCl,2.5667,-6,267.15,8.479,1,benchtop,150 g/kg / 58.44
NaCl,0.1711,-6,267.15,0.8649,2,benchtop,
NaCl,0.5133,-6,267.15,2.389,2,benchtop,
NaCl,0.8556,-6,267.15,3.504,2,benchtop,
NaCl,1.2834,-6,267.15,5.089,2,benchtop,
NaCl,1.7112,-6,267.15,6.4,2,benchtop,
NaCl,2.5667,-6,267.15,8.579,2,benchtop,
NaCl,0.1711,-6,267.15,0.8542,3,benchtop,
NaCl,0.5133,-6,267.15,2.309,3,benchtop,
NaCl,0.8556,-6,267.15,3.589,3,benchtop,
NaCl,1.2834,-6,267.15,5.186,3,benchtop,
NaCl,1.7112,-6,267.15,6.485,3,benchtop,
